ncm,nves,nves_nm,pais_origem,fob_kg_minimo_dolar_truncado,fob_kg_maximo_dolar_truncado,fob_kg_media_dolar_truncado,fob_kg_mediana_dolar_truncado,fob_kg_desvio_padrao_dolar_truncado,fob_kg_quartil1_truncado,fob_kg_quartil3_truncado,fob_ume_minimo_dolar_truncado,fob_ume_maximo_dolar_truncado,fob_ume_media_dolar_truncado,fob_ume_mediana_dolar_truncado,fob_ume_desvio_padrao_dolar_truncado,fob_ume_quartil1_truncado,fob_ume_quartil3_truncado,vmle_soma_dolar_truncado,peso_liq_soma_truncado,qtd_ume_soma_truncado,frete_minimo_dolar_truncado,frete_media_dolar_truncado,frete_mediana_dolar_truncado,frete_maximo_dolar_truncado,frete_desvio_padrao_dolar_truncado,seguro_minimo_dolar_truncado,seguro_media_dolar_truncado,seguro_mediana_dolar_truncado,seguro_maximo_dolar_truncado,seguro_desvio_padrao_dolar_truncado,ume,ncm_str
4022110,S/NVE,S/NVE,ARGENTINA,3.13,3.98,3.4,3.36,0.192,3.2,3.54,3.13,3.98,3.4,3.36,0.192,3.2,3.54,15800000.0,4570000.0,4570000.0,215.0,1660.0,1450.0,5410.0,843.0,0.0,128.0,130.0,663.0,134.0,Quilograma,04022110
4022110,S/NVE,S/NVE,PARAGUAI,3.15,3.6,3.37,3.4,0.176,3.15,3.6,3.15,3.6,3.37,3.4,0.176,3.15,3.6,6140000.0,1820000.0,1820000.0,139.0,1240.0,1000.0,3770.0,1010.0,0.0,102.0,0.0,825.0,251.0,Quilograma,04022110
4022110,S/NVE,S/NVE,URUGUAI,3.23,4.7,3.92,3.9,0.24,3.88,3.95,3.23,4.7,3.92,3.9,0.24,3.88,3.95,16300000.0,4110000.0,4110000.0,270.0,1630.0,1200.0,8370.0,1290.0,0.0,210.0,163.0,480.0,192.0,Quilograma,04022110
4041000,S/NVE,S/NVE,ARGENTINA,0.5,7.63,3.52,2.65,2.49,1.78,6.75,0.5,7.63,3.52,2.65,2.49,1.78,6.75,3770000.0,1190000.0,1190000.0,500.0,1500.0,1300.0,2690.0,576.0,0.0,76.9,44.6,446.0,100.0,Quilograma,04041000
4049000,S/NVE,S/NVE,ESTADOS UNIDOS,5.85,7.2,6.29,6.21,0.5,5.93,6.39,5.85,7.2,6.29,6.21,0.5,5.93,6.39,844000.0,133000.0,133000.0,1520.0,3150.0,3400.0,3960.0,870.0,0.0,90.1,77.1,189.0,86.4,Quilograma,04049000
4061010,S/NVE,S/NVE,ARGENTINA,3.63,4.2,3.83,3.8,0.117,3.72,3.89,3.63,4.2,3.83,3.8,0.117,3.72,3.89,8860000.0,2310000.0,2310000.0,375.0,1680.0,1790.0,4320.0,701.0,0.0,99.3,22.7,280.0,118.0,Quilograma,04061010
4069010,",",", ",ARGENTINA,6.1,7.2,6.48,6.31,0.495,6.17,6.63,6.1,7.2,6.48,6.31,0.495,6.17,6.63,336000.0,53400.0,53400.0,113.0,1510.0,969.0,4000.0,1810.0,0.0,3.46,0.0,13.8,6.92,Quilograma,04069010
4069010,S/NVE,S/NVE,ARGENTINA,5.0,9.25,6.55,6.44,0.974,6.09,6.72,5.0,9.25,6.55,6.44,0.974,6.09,6.72,2650000.0,417000.0,417000.0,20.7,1720.0,1360.0,4410.0,1320.0,0.0,100.0,18.0,441.0,129.0,Quilograma,04069010
4069020,S/NVE,S/NVE,ARGENTINA,3.69,6.0,4.08,4.01,0.414,3.8,4.19,3.69,6.0,4.08,4.01,0.414,3.8,4.19,2650000.0,663000.0,663000.0,31.0,1460.0,1470.0,4000.0,780.0,0.0,86.6,0.0,730.0,148.0,Quilograma,04069020
4071100,S/NVE,S/NVE,ESTADOS UNIDOS,22.5,1430.0,217.0,28.7,375.0,22.8,126.0,18.4,1160.0,172.0,21.7,300.0,18.6,103.0,15900000.0,128000.0,161000.0,2200.0,18500.0,21800.0,38400.0,10500.0,0.0,482.0,0.0,5610.0,1310.0,Duzia,04071100
